student_pk,person_uid,profile_academic_year,profile_academic_year_desc,profile_academic_period_desc,profile_college,profile_college_desc,profile_residence,profile_residence_desc,profile_high_school_percentile,profile_highest_sat_math,profile_highest_sat_writing,profile_highest_sat_crit_read,profile_highest_act_english,profile_highest_act_math,profile_highest_act_reading,profile_highest_act_sci_reason,profile_highest_act_composite,profile_highest_act_englwrit
3185,1462445,2016,Academic Year 2015-2016,Fall 2015,HH,College of Health & Human Sci,R,Resident,91,630,550,620,28,28,32,23,28,24
2350,1460536,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,R,Resident,71,540,460,420,20,20,14,23,19,19
5780,1545651,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,F,Foreign,,740,550,690,,,,,,
3387,1499474,2016,Academic Year 2015-2016,Fall 2015,E,First Year Engineering,N,Non-Resident,99,,,,34,30,34,32,32,31
2359,1463785,2016,Academic Year 2015-2016,Fall 2015,A,College of Agriculture,R,Resident,84,570,530,510,26,25,25,23,23,23
2135,1468910,2016,Academic Year 2015-2016,Fall 2015,M,School of Management,R,Resident,,520,540,520,26,23,23,23,24,25
4410,1504114,2016,Academic Year 2015-2016,Fall 2015,E,First Year Engineering,R,Resident,,690,670,690,,,,,,
581,1370342,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,R,Resident,100,800,770,690,36,36,36,34,36,32
5717,1469054,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,R,Resident,71,580,520,670,20,26,24,22,23,20
5796,1502744,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,N,Non-Resident,,,,,32,30,35,33,33,29
3786,1496470,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,R,Resident,97,660,620,650,,,,,,
522,1418350,2016,Academic Year 2015-2016,Fall 2015,MS,School of Materials Engr,R,Resident,87,770,700,770,,,,,,
6555,1530044,2016,Academic Year 2015-2016,Fall 2015,M,School of Management,F,Foreign,,620,610,520,,,,,,
3328,1522434,2016,Academic Year 2015-2016,Fall 2015,EC,School of Elec & Computer Engr,F,Foreign,,670,650,750,32,36,34,35,33,28
3289,1500326,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,R,Resident,,630,630,590,,,,,,
5904,1533263,2016,Academic Year 2015-2016,Fall 2015,A,College of Agriculture,N,Non-Resident,,550,420,550,,,,,,
5218,1505814,2016,Academic Year 2015-2016,Fall 2015,AB,School of Agr and Bio Engr,N,Non-Resident,,640,450,480,26,32,24,28,28,25
3232,1473702,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,R,Resident,,610,600,580,,,,,,
1555,1473726,2016,Academic Year 2015-2016,Fall 2015,A,College of Agriculture,R,Resident,,470,580,480,,,,,,
817,1464314,2016,Academic Year 2015-2016,Fall 2015,PI,Polytechnic Institute,R,Resident,90,580,520,610,32,27,30,30,30,27
4265,1549731,2016,Academic Year 2015-2016,Fall 2015,LA,College of Liberal Arts,F,Foreign,,,,,29,32,24,32,29,
2357,1463980,2016,Academic Year 2015-2016,Fall 2015,CH,School of Chemical Engineering,R,Resident,,770,640,620,34,34,30,27,31,33
4445,1536545,2016,Academic Year 2015-2016,Fall 2015,CH,School of Chemical Engineering,N,Non-Resident,,700,680,660,,,,,,
80,1462028,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,R,Resident,98,740,680,720,35,34,36,27,33,31
5587,1492956,2016,Academic Year 2015-2016,Fall 2015,E,First Year Engineering,N,Non-Resident,,800,600,670,,,,,,
1717,1388409,2016,Academic Year 2015-2016,Fall 2015,PP,Pre-Pharmacy,R,Resident,90,600,530,600,28,28,27,26,27,24
190,1397165,2016,Academic Year 2015-2016,Fall 2015,A,College of Agriculture,R,Resident,90,650,470,530,21,26,23,23,23,20
3230,1418360,2016,Academic Year 2015-2016,Fall 2015,PI,Polytechnic Institute,N,Non-Resident,82,590,630,650,27,27,30,30,29,28
5266,1502390,2016,Academic Year 2015-2016,Fall 2015,A,College of Agriculture,R,Resident,95,460,490,460,20,18,21,17,19,19
1563,1448182,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,R,Resident,89,550,510,510,22,24,21,24,23,23
5922,1502180,2016,Academic Year 2015-2016,Fall 2015,ME,School of Mechanical Engr,N,Non-Resident,,770,630,730,,,,,,
1871,1473214,2016,Academic Year 2015-2016,Fall 2015,M,School of Management,R,Resident,,610,530,540,24,20,19,24,22,24
2949,1461320,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,R,Resident,,770,690,750,,,,,,
5221,1490469,2016,Academic Year 2015-2016,Fall 2015,ME,School of Mechanical Engr,N,Non-Resident,,,,,32,35,33,34,34,29
5690,1546260,2016,Academic Year 2015-2016,Fall 2015,LA,College of Liberal Arts,F,Foreign,,740,580,500,,,,,,
3941,1500418,2016,Academic Year 2015-2016,Fall 2015,HH,College of Health & Human Sci,R,Resident,,,,,27,27,24,27,26,25
3095,1468046,2016,Academic Year 2015-2016,Fall 2015,HH,College of Health & Human Sci,N,Non-Resident,,,,,33,28,30,29,30,29
6174,1516636,2016,Academic Year 2015-2016,Fall 2015,EC,School of Elec & Computer Engr,N,Non-Resident,88,,,,28,28,28,26,26,24
726,1472383,2016,Academic Year 2015-2016,Fall 2015,HH,College of Health & Human Sci,R,Resident,,740,710,680,,,,,,
